Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
AB de Villiers,4,14,86,4,6.14,21.5,21,0,0,2/15,11,1,39
AC Evans,4,40,215,6,5.38,35.83,40,0,0,2/30,24,4,141
AD Mathews,5,35.4,207,6,5.8,34.5,35.67,0,0,3/41,21,4,114
AD Russell,7,54,343,11,6.35,31.18,29.45,0,0,3/33,25,12,169
AF Milne,6,39.2,199,5,5.06,39.8,47.2,0,0,2/56,24,1,141
Aftab Alam,1,9,55,2,6.11,27.5,27,0,0,2/55,5,1,28
AM Guruge,4,28.3,136,7,4.77,19.43,24.43,1,0,4/56,10,5,110
Amjad Javed,6,48,313,7,6.52,44.71,41.14,0,0,3/60,30,9,144
AR Cusack,4,37.3,172,7,4.59,24.57,32.14,1,0,4/32,17,0,131
AR McBrine,3,28,145,3,5.18,48.33,56,0,0,2/63,8,3,75
Arafat Sunny,1,8,42,0,5.25,0,0,0,0,0/42,3,1,23
Asghar Afghan,1,0.5,6,0,7.2,0,0,0,0,0/6,1,0,2
B Kumar,1,5,19,1,3.8,19,30,0,0,1/19,2,0,21
BMAJ Mendis,2,5,18,2,3.6,9,15,0,0,2/5,1,0,16
CH Gayle,3,18,97,5,5.39,19.4,21.6,0,0,2/21,6,1,48
CJ Anderson,9,36.1,234,14,6.47,16.71,15.5,0,0,3/18,22,8,122
CJ Jordan,2,16.2,72,4,4.41,18,24.5,0,0,2/13,7,1,63
CR Woakes,5,37.4,234,5,6.21,46.8,45.2,0,0,2/8,28,3,111
Dawlat Zadran,5,41,248,6,6.05,41.33,41,0,0,3/29,26,7,146
DJG Sammy,6,28,172,1,6.14,172,168,0,0,1/47,15,4,74
DL Vettori,9,75.5,307,15,4.05,20.47,30.33,1,0,4/18,11,9,248
DR Smith,2,7,27,1,3.86,27,42,0,0,1/22,2,0,24
DW Steyn,8,68.5,346,11,5.03,31.45,37.55,0,0,3/30,36,12,261
E Chigumbura,4,13,93,1,7.15,93,78,0,0,1/30,4,4,45
Ehsan Adil,2,12,62,2,5.17,31,36,0,0,1/31,7,1,46
F Behardien,3,11,64,0,5.82,0,0,0,0,0/11,4,2,30
F du Plessis,2,7,47,0,6.71,0,0,0,0,0/17,2,1,17
Fahad Alhashmi,1,7.2,45,0,6.14,0,0,0,0,0/45,3,0,17
GD Elliott,5,8,68,2,8.5,34,24,0,0,2/27,4,4,14
GH Dockrell,6,48,288,5,6,57.6,57.6,0,0,3/50,22,10,143
GJ Maxwell,8,38,218,6,5.74,36.33,38,0,0,2/43,15,4,104
Gulbadin Naib,1,9,53,1,5.89,53,54,0,0,1/53,8,0,31
H Masakadza,6,16.2,101,1,6.18,101,98,0,0,1/39,8,3,39
Hamid Hassan,6,51,261,8,5.12,32.62,38.25,0,0,3/45,30,1,172
Haris Sohail,5,21,133,3,6.33,44.33,42,0,0,2/62,13,2,50
HMRKB Herath,4,34.5,156,3,4.48,52,69.67,0,0,1/35,13,2,113
I Wardlaw,5,43.3,310,6,7.13,51.67,43.5,0,0,3/57,39,8,140
Imran Tahir,8,76.2,323,15,4.23,21.53,30.53,1,1,5/45,26,7,264
Javed Ahmadi,3,9.5,58,0,5.9,0,0,0,0,0/8,3,0,19
JC Tredwell,1,7,25,1,3.57,25,42,0,0,1/25,1,1,27
JE Root,4,9,56,1,6.22,56,54,0,0,1/27,3,1,16
JE Taylor,7,57.3,328,17,5.7,19.29,20.29,0,0,3/15,38,5,200
JF Mooney,6,45,285,4,6.33,71.25,67.5,0,0,2/58,28,6,157
JH Davey,6,50,311,15,6.22,20.73,20,1,0,4/68,37,5,167
JM Anderson,6,46,245,5,5.33,49,55.2,0,0,2/30,30,1,161
JO Holder,7,58,351,9,6.05,39,38.67,1,0,4/27,33,13,206
JP Duminy,6,35,202,6,5.77,33.67,35,0,0,3/29,13,6,95
JP Faulkner,6,41.5,197,10,4.71,19.7,25.1,0,0,3/36,18,1,146
JR Hazlewood,5,42.5,176,7,4.11,25.14,36.71,1,0,4/35,18,1,169
KAJ Roach,3,22,150,1,6.82,150,132,0,0,1/44,18,2,74
Kamran Shazad,1,8,59,1,7.38,59,48,0,0,1/59,10,0,24
Khurram Khan,2,7,52,0,7.43,0,0,0,0,0/21,2,2,7
KJ Abbott,4,31,130,9,4.19,14.44,20.67,1,0,4/21,18,0,125
KJ Coetzer,2,7.5,58,0,7.4,0,0,0,0,0/19,4,2,14
KJ O'Brien,6,49.5,408,6,8.19,68,49.83,0,0,2/61,47,11,130
KMDN Kulasekara,3,16,111,4,6.94,27.75,24,0,0,3/20,13,2,48
Krishna Chandran,4,25,177,1,7.08,177,150,0,0,1/59,13,4,53
KS Williamson,2,2,12,0,6,0,0,0,0,0/5,0,0,1
LMP Simmons,1,1,12,0,12,0,0,0,0,0/12,2,0,0
M Morkel,8,68.1,299,17,4.39,17.59,24.06,0,0,3/34,33,4,270
MA Leask,2,7.2,70,0,9.55,0,0,0,0,0/7,4,4,12
MA Starc,8,63.5,224,22,3.51,10.18,17.41,1,1,6/28,19,3,269
Mahmudullah,5,24,135,1,5.62,135,144,0,0,1/31,13,1,64
Mashrafe Mortaza,5,47,250,7,5.32,35.71,40.29,0,0,3/20,32,2,167
MC Sorensen,3,24,200,3,8.33,66.67,48,0,0,2/60,19,7,59
MG Johnson,8,63.3,326,15,5.13,21.73,25.4,1,0,4/22,30,8,238
Mirwais Ashraf,2,17.1,63,2,3.67,31.5,51.5,0,0,2/32,5,1,69
MJ Clarke,1,5,14,1,2.8,14,30,0,0,1/14,0,0,18
MJ Henry,2,17.1,86,2,5.01,43,51.5,0,0,2/46,9,1,62
MJ McClenaghan,1,8,68,0,8.5,0,0,0,0,0/68,8,2,17
MM Ali,4,38,201,4,5.29,50.25,57,0,0,2/47,14,3,96
MM Sharma,8,63,314,13,4.98,24.15,29.08,0,0,3/48,32,4,218
MN Samuels,6,35.1,177,3,5.03,59,70.33,0,0,1/25,19,0,109
Mohammad Irfan,5,41,186,8,4.54,23.25,30.75,1,0,4/30,23,1,156
Mohammad Nabi,6,45.4,261,3,5.72,87,91.33,0,0,1/38,16,5,120
Mohammad Naveed,6,50.2,307,8,6.1,38.38,37.75,0,0,3/63,37,3,172
Mohammad Tauqir,6,43.5,231,5,5.27,46.2,52.6,0,0,2/38,19,3,125
Mohammed Shami,7,61,294,17,4.82,17.29,21.53,1,0,4/35,30,7,243
MR Marsh,3,13,69,5,5.31,13.8,15.6,0,1,5/33,5,3,45
MW Machan,3,13,102,1,7.85,102,78,0,0,1/46,3,6,23
Nasir Aziz,2,16,100,1,6.25,100,96,0,0,1/53,8,3,47
Nasir Hossain,3,19,99,4,5.21,24.75,28.5,0,0,2/32,5,4,56
Nawroz Mangal,1,1,14,1,14,14,6,0,0,1/14,1,1,1
NLTC Perera,6,41.3,280,6,6.75,46.67,41.5,0,0,2/87,30,8,117
NO Miller,1,6.3,48,1,7.38,48,39,0,0,1/48,5,1,16
PHT Kaushal,1,6,25,0,4.17,0,0,0,0,0/25,1,0,22
PJ Cummins,2,13.1,80,5,6.08,16,15.8,0,0,3/42,11,1,50
PR Stirling,6,34.1,195,2,5.71,97.5,102.5,0,0,2/27,14,4,90
PVD Chameera,2,9.1,80,3,8.73,26.67,18.33,0,0,3/51,10,0,23
R Ashwin,8,77,330,13,4.29,25.38,35.54,1,0,4/25,23,9,279
RA Jadeja,8,66.4,357,9,5.36,39.67,44.44,0,0,2/23,27,10,199
Rahat Ali,5,44,192,7,4.36,27.43,37.71,0,0,3/40,20,1,167
RAS Lakmal,4,35.4,218,7,6.11,31.14,30.57,0,0,2/36,27,2,118
RD Berrington,4,23.1,132,7,5.7,18.86,19.86,1,0,4/40,13,2,69
RG Sharma,1,3,21,0,7,0,0,0,0,0/21,2,0,4
RM Haq,4,34,166,3,4.88,55.33,68,0,0,1/21,6,7,110
RML Taylor,3,19,102,2,5.37,51,57,0,0,1/29,12,1,62
Rohan Mustafa,3,12,76,0,6.33,0,0,0,0,0/8,7,0,27
RR Rossouw,1,2,13,0,6.5,0,0,0,0,0/13,0,0,2
RS Bopara,1,8,31,2,3.88,15.5,24,0,0,2/31,3,0,30
Rubel Hossain,6,50.3,298,8,5.9,37.25,37.88,1,0,4/53,31,4,156
S Prasanna,2,18,134,1,7.44,134,108,0,0,1/77,12,3,38
Sabbir Rahman,5,16,104,1,6.5,104,96,0,0,1/47,8,1,30
Samiullah Shinwari,5,17.1,102,0,5.94,0,0,0,0,0/2,11,1,46
SC Williams,6,45,286,7,6.36,40.86,38.57,0,0,3/72,18,9,111
SCJ Broad,6,47.2,254,4,5.37,63.5,71,0,0,2/66,25,4,161
SF Mire,4,20,138,2,6.9,69,60,0,0,2/39,16,3,57
Shahid Afridi,7,57,282,2,4.95,141,171,0,0,2/35,16,4,167
Shaiman Anwar,1,0.4,4,0,6,0,0,0,0,0/4,0,0,0
Shakib Al Hasan,6,57.4,298,8,5.17,37.25,43.25,1,0,4/55,19,9,175
Shapoor Zadran,6,51,265,10,5.2,26.5,30.6,1,0,4/38,26,5,177
Sikandar Raza,6,40,197,2,4.92,98.5,120,0,0,1/34,5,4,106
SJ Benn,3,29,184,2,6.34,92,87,0,0,2/39,16,2,73
SK Raina,4,15,64,1,4.27,64,90,0,0,1/40,5,0,45
SL Malinga,7,63.4,354,12,5.56,29.5,31.83,0,0,3/35,39,1,215
SMSM Senanayake,1,9,59,0,6.56,0,0,0,0,0/59,5,1,23
Sohaib Maqsood,2,6,24,1,4,24,36,0,0,1/16,1,1,23
Sohail Khan,7,61.5,364,12,5.89,30.33,30.92,0,1,5/55,42,10,218
Soumya Sarkar,2,7,32,0,4.57,0,0,0,0,0/13,1,0,18
SPD Smith,1,2,19,0,9.5,0,0,0,0,0/19,2,0,3
SR Thompson,2,16,104,3,6.5,34.67,32,0,0,2/45,7,2,49
SR Watson,6,26,171,2,6.58,85.5,78,0,0,1/18,16,3,69
ST Finn,4,29,200,8,6.9,25,21.75,0,1,5/71,18,8,87
T Mupariwa,3,28,153,1,5.46,153,168,0,0,1/36,15,1,83
T Panyangara,6,55.4,392,5,7.04,78.4,66.8,0,0,2/53,35,15,176
TA Boult,9,85,371,22,4.36,16.86,23.18,1,1,5/27,42,4,336
Taijul Islam,1,10,58,0,5.8,0,0,0,0,0/58,6,1,29
Taskin Ahmed,6,51,325,9,6.37,36.11,34,0,0,3/43,42,3,151
TG Southee,9,81,472,15,5.83,31.47,32.4,0,1,7/33,62,9,288
TL Chatara,6,59.4,342,10,5.73,34.2,35.8,0,0,3/35,30,8,206
TM Dilshan,6,33.2,163,5,4.89,32.6,40,0,0,2/35,8,4,97
TP Kamungozi,3,21,124,1,5.9,124,126,0,0,1/34,11,5,63
UT Yadav,8,64.2,321,18,4.99,17.83,21.44,2,0,4/31,35,6,245
V Kohli,1,1,7,0,7,0,0,0,0,0/7,1,0,2
VD Philander,4,28.3,135,4,4.74,33.75,42.75,0,0,2/30,18,2,111
Wahab Riaz,7,66.1,368,16,5.56,23,24.81,1,0,4/45,28,7,212
WD Parnell,1,9,85,1,9.44,85,54,0,0,1/85,11,1,21
XJ Doherty,1,7,60,0,8.57,0,0,0,0,0/60,7,1,13
Yasir Shah,1,8,60,0,7.5,0,0,0,0,0/60,6,1,14
