Team,Span,Mat,Won,Lost,Draw,Tied,Tie+W,Tie+L,NR,W/L,%W,%L,%D,%
Afghanistan,2015-2023,21,4,17,0,0,0,0,0,0.235,19.04,80.95,0,19.04
Australia,1975-2023,100,73,25,0,1,0,0,1,2.92,73,25,0,74.24
Bangladesh,1999-2023,47,15,30,0,0,0,0,1,0.5,31.91,63.82,0,33.33
Bermuda,2007-2007,3,0,3,0,0,0,0,0,0,0,100,0,-
Canada,1979-2011,18,2,16,0,0,0,0,0,0.125,11.11,88.88,0,11.11
East Africa,1975-1975,3,0,3,0,0,0,0,0,0,0,100,0,-
England,1975-2023,89,49,37,0,1,1,0,1,1.324,55.05,41.57,0,56.81
India,1975-2023,90,59,29,0,1,0,0,1,2.034,65.55,32.22,0,66.85
Ireland,2007-2015,21,7,13,0,1,0,0,0,0.538,33.33,61.9,0,35.71
Kenya,1996-2011,29,6,22,0,0,0,0,1,0.272,20.68,75.86,0,21.42
Namibia,2003-2003,6,0,6,0,0,0,0,0,0,0,100,0,-
Netherlands,1996-2023,26,4,22,0,0,0,0,0,0.181,15.38,84.61,0,15.38
New Zealand,1975-2023,95,58,35,0,0,0,1,1,1.657,61.05,36.84,0,62.23
Pakistan,1975-2023,86,47,36,0,0,0,0,2,1.305,54.65,41.86,0,56.62
Scotland,1999-2015,14,0,14,0,0,0,0,0,0,0,100,0,-
South Africa,1992-2023,70,43,24,0,2,0,0,1,1.791,61.42,34.28,0,63.76
Sri Lanka,1975-2023,86,40,43,0,1,0,0,2,0.93,46.51,50,0,48.21
United Arab Emirates,1996-2015,11,1,10,0,0,0,0,0,0.1,9.09,90.9,0,9.09
West Indies,1975-2019,80,43,35,0,0,0,0,2,1.228,53.75,43.75,0,55.12
Zimbabwe,1983-2015,57,11,42,0,1,0,0,3,0.261,19.29,73.68,0,21.29
